Employee_No,Employee_Code,Name,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Basic Salary_0
569,4728,Alek Moore,Male,1,Married,45,2019-06-03,2021-09-20,Inactive,2021-09-20,569,Management,Contarct Basis,Buddhist,Construction Manager,1966,6158.0
570,4769,Dr Donny Ryan III,Male,4,Single,98,2019-06-12,0000-00-00,Inactive,2020-10-28,\N,Staff,Contarct Basis,Catholic,Store Executive,1985,44140.0
572,4824,Dr Dennis Bosco,Female,1,Married,84,2019-08-05,2021-02-28,Inactive,2021-02-28,\N,Staff,Contarct Basis,Buddhist,HR Executive,1990,39936.0
573,4835,Manuel Bechtelar,Male,1,Single,24,2019-09-05,2021-05-31,Inactive,2021-05-31,\N,Staff,Contarct Basis,Buddhist,Driver,1992,22807.333333333336
574,4913,Dr Torey Gibson,Female,1,Married,104,2019-11-01,0000-00-00,Inactive,2020-06-12,\N,Staff,Contarct Basis,Buddhist,Accountant,1983,23426.0
576,5017,Maiya Bernier,Female,1,Single,143,2020-08-01,0000-00-00,Inactive,2020-12-12,\N,Staff,Contarct Basis,Buddhist,HR Assistant,1999,22401.0
582,71,Miss Burdette Kunze DDS,Male,1,Married,22,1999-07-12,0000-00-00,Active,0000-00-00,624,Staff,Permanant,Buddhist,Technical Officer,1965,52250.0
583,159,Willa Bruen Jr,Male,1,Married,7,2003-09-29,0000-00-00,Active,0000-00-00,\N,Staff,Permanant,Buddhist,Store Keeper,1981,27200.0
584,4836,Prof Johanna Bednar,Male,1,Married,36,2019-08-10,0000-00-00,Active,0000-00-00,2631,Staff,Contarct Basis,Buddhist,Engineer Assistant,1988,45000.0
585,4837,Mr Erin Marquardt II,Male,1,Married,8,2019-08-05,0000-00-00,Inactive,2020-08-15,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990,35724.0
586,4841,Mariam Carter DVM,Male,1,Married,22,2019-08-01,0000-00-00,Inactive,2020-06-13,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1987,28034.5
